service_id,date,exception_type
2025_01_13-DX-MVS-Weekday-022,20250120,2
2025_01_13-DX-MVS-Weekday-022,20250217,2
2025_01_13-DX-MVS-Weekday-022,20250526,2
2025_01_13-DX-MVS-Weekday-022,20250704,2
2025_01_13-SA-MVS-Saturday-022,20250621,2
2025_01_13-SA-MVS-Saturday-022,20250120,1
2025_01_13-SA-MVS-Saturday-022,20250217,1
2025_01_13-SU-MVS-Sunday-022,20250413,2
2025_01_13-SU-MVS-Sunday-022,20250518,2
2025_01_13-SU-MVS-Sunday-022,20250622,2
2025_01_13-SU-MVS-Sunday-022,20250713,2
2025_01_13-SU-MVS-Sunday-022,20250526,1
2025_01_13-SU-MVS-Sunday-022,20250704,1
2025_01_13-SU-MVS-Sunday-085,20250420,2
2025_01_13-SU-MVS-Sunday-085,20250427,2
2025_01_13-SU-MVS-Sunday-085,20250504,2
2025_01_13-SU-MVS-Sunday-085,20250511,2
2025_01_13-SU-MVS-Sunday-085,20250518,2
2025_01_13-SU-MVS-Sunday-085,20250525,2
2025_01_13-SU-MVS-Sunday-085,20250601,2
2025_01_13-SU-MVS-Sunday-085,20250608,2
2025_01_13-SU-MVS-Sunday-085,20250615,2
2025_01_13-SU-MVS-Sunday-085,20250622,2
2025_01_13-SU-MVS-Sunday-085,20250629,2
2025_01_13-SU-MVS-Sunday-085,20250706,2
2025_01_13-DX19-Weekday-003,20250217,2
2025_01_13-DX19-Weekday-003,20250526,2
2025_01_13-DX19-Weekday-003,20250704,2
2025_01_13-SA19-Saturday-003,20250217,1
2025_01_13-SU19-Sunday-003,20250526,1
2025_01_13-SU19-Sunday-003,20250704,1
2025_01_13-DX20-Weekday-003,20250217,2
2025_01_13-DX20-Weekday-003,20250526,2
2025_01_13-DX20-Weekday-003,20250704,2
2025_01_13-SA20-Saturday-003,20250217,1
2025_01_13-SU20-Sunday-003,20250526,1
2025_01_13-SU20-Sunday-003,20250704,1
