trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_distance_traveled
1682335,04:47:00,04:47:00,C60-2,0,,,,0.0
1682335,04:52:00,04:52:00,C50-2,2,,,,21455.3
1682335,04:55:00,04:55:00,C40-2,3,,,,30488.3
1682335,05:00:00,05:00:00,C30-2,4,,,,48765.0
1682335,05:05:00,05:05:00,C20-2,5,,,,68640.6
1682335,05:10:00,05:11:00,C10-2,6,,,,91802.2
1682335,05:13:00,05:14:00,K30-4,7,,,,99985.7
1682335,05:17:00,05:18:00,K20-2,8,,,,107943.0
1682335,05:19:00,05:20:00,K10-2,9,,,,109939.3
1682335,05:24:00,05:24:00,M10-1,10,,,,118354.9
1682335,05:31:00,05:31:00,M16-1,11,,,,149226.3
1682335,05:32:00,05:33:00,M20-1,12,,,,150972.8
1682335,05:34:00,05:35:00,M30-1,13,,,,153336.0
1682335,05:36:00,05:36:00,M40-1,14,,,,156175.2
1682335,05:38:00,05:39:00,M50-1,15,,,,162065.7
1682335,05:40:00,05:41:00,M60-1,16,,,,166784.9
1682335,05:43:00,05:43:00,M70-1,17,,,,175487.2
1682335,05:45:00,05:46:00,M80-1,18,,,,181643.1
1682335,05:50:00,05:50:00,M90-3,19,,,,190649.2
1682335,05:54:00,05:54:00,W10-1,20,,,,199144.5
1682335,05:57:00,05:57:00,W20-1,21,,,,209291.0
1682335,06:00:00,06:01:00,W30-1,22,,,,222040.8
1682335,06:05:00,06:05:00,Y10-1,23,,,,233581.2
1682336,04:54:00,04:55:00,C60-2,0,,,,0.0
1682336,04:59:00,05:00:00,C50-2,2,,,,21455.3
1682336,05:02:00,05:03:00,C40-2,3,,,,30488.3
1682336,05:07:00,05:07:00,C30-2,4,,,,48765.0
1682336,05:12:00,05:12:00,C20-2,5,,,,68640.6
1682336,05:18:00,05:18:00,C10-2,6,,,,91802.2
1682336,05:21:00,05:21:00,K30-4,7,,,,99985.7
1682336,05:24:00,05:25:00,K20-2,8,,,,107943.0
1682336,05:26:00,05:27:00,K10-2,9,,,,109939.3
1682336,05:31:00,05:32:00,M10-1,10,,,,118354.9
1682336,05:38:00,05:39:00,M16-1,11,,,,149226.3
